"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"A black friend of Jeff Sessions says he is not a racist, while another reader recalls Trump’s question to black voters: “What do you have to lose?”","https://www.nytimes.com/2016/11/21/opinion/as-donald-trump-picks-his-cabinet.html","A black friend of Jeff Sessions says he is not a racist, while another reader recalls Trump’s question to black voters: “What do you have to lose?”","To the Editor:","A","30","The New York Times","2016-11-22T00:00:58+0000","article","Letters","Opinion","Letter","nyt://article/4a469ee4-8f0f-53cf-8d86-d7e793804070",475,"nyt://article/4a469ee4-8f0f-53cf-8d86-d7e793804070",NA,"As Donald Trump Picks His Cabinet","Letters",NA,"As Donald Trump Picks His Cabinet",NA,NA,NA,"",NA
"Reading from a script in an update on the transition, the president-elect struck a softer tone, avoiding topics like terrorism and immigration.","https://www.nytimes.com/2016/11/21/us/politics/donald-trump-presidency.html","Reading from a script in an update on the transition, the president-elect struck a softer tone, avoiding topics like terrorism and immigration.","WASHINGTON — President-elect Donald J. Trump on Monday released a two-and-a-half-minute infomercial-style video, turning to social media to deliver a direct-to-camera message in which he vowed to create jobs, renegotiate trade agreements, end restrictions on energy production and impose bans on lobbying.","A","1","The New York Times","2016-11-22T00:32:15+0000","article","National","U.S.","News","nyt://article/9160baa5-165d-593d-b408-62d48d5e7d1c",1047,"nyt://article/9160baa5-165d-593d-b408-62d48d5e7d1c","Politics","Trump, on YouTube, Pledges to Create Jobs",NA,NA,"Trump, on Video, Says Transition Runs Smoothly",NA,NA,NA,"By Michael D. Shear and Julie Hirschfeld Davis",NA
"Community bankers overwhelmingly supported Donald J. Trump’s campaign. Now, as mega-banks’ stock soars, they too are looking ahead to the benefits of his administration.","https://www.nytimes.com/2016/11/21/business/dealbook/small-banks-cheer-trump-so-after-a-pause-do-big-ones.html","Community bankers overwhelmingly supported Donald J. Trump’s campaign. Now, as mega-banks’ stock soars, they too are looking ahead to the benefits of his administration.","Washington lobbyists, financial and policy analysts and Wall Street insiders are all trying to figure out what the Trump administration will mean for the banking industry.","B","1","The New York Times","2016-11-22T00:57:51+0000","article","Business","Business Day","News","nyt://article/398d5630-c4b8-5219-bd1d-5e357f591504",1257,"nyt://article/398d5630-c4b8-5219-bd1d-5e357f591504","DealBook","Small Banks Cheer Trump. So, After a Pause, Do Big Ones.",NA,NA,"Small Banks Cheer Trump. So Do Big Ones.",NA,NA,NA,"By Michael Corkery",NA
"Echoing the governor, Mayor Bill de Blasio pledged to challenge the creation of a Muslim registry and promised to protect immigrants threatened with deportation.","https://www.nytimes.com/2016/11/21/nyregion/mayor-de-blasio-vows-to-shield-new-yorkers-from-trumps-policies.html","Echoing the governor, Mayor Bill de Blasio pledged to challenge the creation of a Muslim registry and promised to protect immigrants threatened with deportation.","Faced with a Republican president-elect willing to draw hard lines on immigration, policing and funding for social programs, Mayor Bill de Blasio in a formal address on Monday drew some of his own, presenting New York City as a national model of resistance and “a better way.”","A","25","The New York Times","2016-11-22T01:12:38+0000","article","Metro","New York","News","nyt://article/66c0e7e6-f511-5e29-8078-6d54cddb9912",949,"nyt://article/66c0e7e6-f511-5e29-8078-6d54cddb9912",NA,"Mayor de Blasio Vows to Shield New Yorkers From Trump’s Policies",NA,NA,"De Blasio, Echoing Cuomo, Vows to Shield New Yorkers From Trump’s Policies",NA,NA,NA,"By J. David Goodman",NA
"Accounts of Donald J. Trump’s meeting with a group from Britain raises questions about his willingness to use the presidency to advance his businesses.","https://www.nytimes.com/2016/11/21/business/with-a-meeting-trump-renewed-a-british-wind-farm-fight.html","Accounts of Donald J. Trump’s meeting with a group from Britain raises questions about his willingness to use the presidency to advance his businesses.","LONDON — When President-elect Donald J. Trump met with the British politician Nigel Farage in recent days, he encouraged Mr. Farage and his entourage to oppose the kind of offshore wind farms that Mr. Trump believes will mar the pristine view from one of his two Scottish golf courses, according to one person present.","A","19","The New York Times","2016-11-22T01:25:56+0000","article","Business","Business Day","News","nyt://article/d794ce98-b361-503e-989f-ddd656993570",1199,"nyt://article/d794ce98-b361-503e-989f-ddd656993570",NA,"With a Meeting, Trump Renewed a British Wind Farm Fight",NA,NA,"With a Meeting, Trump Renewed a British Wind Farm Fight",NA,NA,NA,"By Danny Hakim and Eric Lipton",NA
"The envoy, Staffan de Mistura, said he feared that eastern Aleppo could be obliterated before Donald J. Trump is even inaugurated.","https://www.nytimes.com/2016/11/21/world/middleeast/donald-trump-russia-syria-aleppo.html","The envoy, Staffan de Mistura, said he feared that eastern Aleppo could be obliterated before Donald J. Trump is even inaugurated.","BEIRUT, Lebanon — The United Nations special envoy to Syria offered unsolicited advice on Monday to President-elect Donald J. Trump: Pay attention to what happens between now and January in Syria, particularly in Aleppo, the storied city at risk of obliteration by Russian-backed Syrian forces.","A","9","The New York Times","2016-11-22T01:25:59+0000","article","Foreign","World","News","nyt://article/8e7daa94-b7ee-53bf-9248-b11accbef827",761,"nyt://article/8e7daa94-b7ee-53bf-9248-b11accbef827","Middle East","U.N.’s Syria Envoy Suggests Donald Trump Has Limited Window to Work With Russia",NA,NA,"U.N.’s Syria Envoy Issues a Stark Warning to Trump on Russia",NA,NA,NA,"By Alissa J. Rubin",NA
"The president-elect has been criticized for fanning the flames of hate groups, and the latest outcry followed a conference of white nationalists in Washington this weekend.","https://www.nytimes.com/2016/11/21/us/politics/alt-right-trump.html","The president-elect has been criticized for fanning the flames of hate groups, and the latest outcry followed a conference of white nationalists in Washington this weekend.","WASHINGTON — Civil rights groups called on President-elect Donald J. Trump on Monday to publicly condemn extremist movements that are espousing racism in his name after hundreds of white nationalist sympathizers spent the weekend in Washington debating ways to preserve white culture.","A","21","The New York Times","2016-11-22T01:43:51+0000","article","National","U.S.","News","nyt://article/2c05720a-4817-5b2d-8be6-6e3808565aab",627,"nyt://article/2c05720a-4817-5b2d-8be6-6e3808565aab","Politics","Civil Rights Groups Call on Trump to Denounce Racism of Alt-Right",NA,NA,"Civil Rights Groups Call on Trump to Denounce Racism of the Alt-Right",NA,NA,NA,"By Alan Rappeport",NA
"The defiant president-elect told on-air stars like Lester Holt, Charlie Rose, George Stephanopoulos and Wolf Blitzer they got it all wrong.","https://www.nytimes.com/2016/11/21/business/media/trump-summons-tv-figures-for-private-meeting-and-lets-them-have-it.html","The defiant president-elect told on-air stars like Lester Holt, Charlie Rose, George Stephanopoulos and Wolf Blitzer they got it all wrong.","It had all the trappings of a high-level rapprochement: President-elect Donald J. Trump, now the nation’s press critic in chief, inviting the leading anchors and executives of television news to join him on Monday for a private meeting of minds.","A","18","The New York Times","2016-11-22T02:00:32+0000","article","Business","Business Day","News","nyt://article/b20cf35d-1176-5aa3-ab83-1aa3a69e8faa",818,"nyt://article/b20cf35d-1176-5aa3-ab83-1aa3a69e8faa","Media","Trump Summons TV Figures for Private Meeting, and Lets Them Have It",NA,NA,"Trump Calls TV Figures to a Private Meeting, and Lets Them Have It",NA,NA,NA,"By Michael M. Grynbaum and Sydney Ember",NA
"If Mr. Trump continues, once inaugurated, to profit from transactions with companies controlled by foreign governments, he may run afoul of the Emoluments Clause.","https://www.nytimes.com/2016/11/21/us/politics/donald-trump-conflict-of-interest.html","If Mr. Trump continues, once inaugurated, to profit from transactions with companies controlled by foreign governments, he may run afoul of the Emoluments Clause.","WASHINGTON — Not long after he took office, President Obama sought advice from the Justice Department about a potential conflict of interest involving a foreign government. He wanted to know whether he could accept the Nobel Peace Prize.","A","1","The New York Times","2016-11-22T02:01:40+0000","article","National","U.S.","News","nyt://article/4f1559bf-f9cc-52f3-b498-04c9e27bf043",1150,"nyt://article/4f1559bf-f9cc-52f3-b498-04c9e27bf043","Politics","Donald Trump’s Business Dealings Test a Constitutional Limit",NA,NA,"Trump’s Foreign Business Deals  May Test a Constitutional Limit",NA,NA,NA,"By Adam Liptak",NA
"The current wave of enthusiasm recalls the early days of Ronald Reagan after his election in 1980.","https://www.nytimes.com/2016/11/21/business/dealbook/investors-make-bullish-bet-on-trump-and-an-era-of-tax-cuts-and-spending.html","The current wave of enthusiasm recalls the early days of Ronald Reagan after his election in 1980.","Two weeks after Donald J. Trump swept to victory, investors from around the world are betting that his promises of tax cuts, fewer regulations and a spendthrift federal government can recharge the American economy.","A","1","The New York Times","2016-11-22T02:09:13+0000","article","Business","Business Day","News","nyt://article/b659926f-b402-5ebe-ad40-e3834534bbfb",1091,"nyt://article/b659926f-b402-5ebe-ad40-e3834534bbfb","DealBook","Investors Make Bullish Bet on Trump, and an Era of Tax Cuts and Spending",NA,NA,"Investors Make a Bullish Bet on Expansion",NA,NA,NA,"By Landon Thomas Jr",NA
"Governor Christie’s dismissal from the president-elect’s transition team was weeks in the making, according to interviews with people close to the governor and the campaign.","https://www.nytimes.com/2016/11/21/nyregion/grievances-and-grumblings-long-before-chris-christies-fall-in-donald-trumps-circle.html","Governor Christie’s dismissal from the president-elect’s transition team was weeks in the making, according to interviews with people close to the governor and the campaign.","The critical weekend before Election Day was set to be a busy one for Gov. Chris Christie of New Jersey; he was to campaign for Donald J. Trump in the battleground states of New Hampshire and Pennsylvania.","A","20","The New York Times","2016-11-22T02:10:15+0000","article","Metro","New York","News","nyt://article/9daade38-4611-56e7-b35a-f240a47ea6c5",1311,"nyt://article/9daade38-4611-56e7-b35a-f240a47ea6c5",NA,"Grievances and Grumblings, Long Before Chris Christie’s Fall in Donald Trump’s Circle",NA,NA,"Grievances and Grumblings, Long Before Christie’s Fall in Trump’s Circle",NA,NA,NA,"By Kate Zernike",NA
"Turning to retired officers worries national security experts and even other retired generals, who say that it could lead to an undue emphasis on military force in foreign policy.","https://www.nytimes.com/2016/11/21/us/politics/donald-trump-national-security-military.html","Turning to retired officers worries national security experts and even other retired generals, who say that it could lead to an undue emphasis on military force in foreign policy.","WASHINGTON — Donald J. Trump ran for president boasting that he knew more about fighting terrorists than America’s generals.","A","1","The New York Times","2016-11-22T02:18:26+0000","article","National","U.S.","News","nyt://article/55c84385-134a-5f5f-b3f7-4179343ce725",1251,"nyt://article/55c84385-134a-5f5f-b3f7-4179343ce725","Politics","Trump’s Focus on Generals for Top Jobs Stirs Worries Over Military’s Sway",NA,NA,"Focus on Generals for Top Jobs Stirs Worries on Military Sway",NA,NA,NA,"By Mark Landler and Helene Cooper",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/22/briefing/europe-briefing.html","Here’s what you need to know to start your day.","Good morning.",NA,NA,"The New York Times","2016-11-22T05:05:38+0000","article","NYTNow","Briefing","briefing","nyt://article/813f91a3-e2c7-5e99-a81a-ab577633089b",1122,"nyt://article/813f91a3-e2c7-5e99-a81a-ab577633089b",NA,"Pope Francis, Trump, Klinsmann: Your Tuesday Briefing","Europe Edition",NA,"",NA,NA,NA,"By Patrick Boehler",NA
"Let’s take a break and see what’s going on.","https://www.nytimes.com/2016/11/22/opinion/fellow-trump-critics-maybe-try-a-little-listening.html","Let’s take a break and see what’s going on.","I’ve been thinking a lot about the best imaginable Trump voter. This is the Trump supporter who wasn’t motivated by racism or bigotry. This is the one who cringed every time Donald Trump did something cruel, vulgar or misogynistic.","A","31","The New York Times","2016-11-22T08:21:04+0000","article","OpEd","Opinion","Op-Ed","nyt://article/a53bb03e-4ee5-5eae-ac4e-cf3225fb714c",831,"nyt://article/a53bb03e-4ee5-5eae-ac4e-cf3225fb714c",NA,"Fellow Trump Critics, Maybe Try a Little Listening","Op-Ed Columnist",NA,"A  Time for Listening",NA,NA,NA,"By David Brooks",NA
"Mr. Trump should speak up against dangerous white nationalists instead of admonishing the cast of “Hamilton.”","https://www.nytimes.com/2016/11/22/opinion/donald-trump-rages-at-the-wrong-target.html","Mr. Trump should speak up against dangerous white nationalists instead of admonishing the cast of “Hamilton.”","Millions of Americans are justifiably frightened by the tide of racism, anti-Semitism and xenophobia that has swept the country since the election of Donald Trump, whose campaign stoked these views and who named Stephen Bannon of Breitbart News his chief strategist in the White House.","A","30","The New York Times","2016-11-22T08:21:21+0000","article","Editorial","Opinion","Editorial","nyt://article/d32ef87d-df6e-5ade-b043-5fed15f4191c",553,"nyt://article/d32ef87d-df6e-5ade-b043-5fed15f4191c",NA,"Donald Trump Rages, at the Wrong Target","Editorial",NA,"Mr. Trump Rages, at the Wrong Target",NA,NA,NA,"By The Editorial Board","The Editorial Board"
"A small group of superrich Americans — the president-elect among them — has laid the groundwork for an unprecedented legal assault on the media. Can they succeed?","https://www.nytimes.com/2016/11/22/magazine/billionaires-vs-the-press-in-the-era-of-trump.html","A small group of superrich Americans — the president-elect among them — has laid the groundwork for an unprecedented legal assault on the media. Can they succeed?","In 2005, Tim O’Brien, then a financial reporter at The New York Times, published the book “TrumpNation: The Art of Being the Donald.” O'Brien talked to sources with an up-close view of Donald J. Trump’s finances, who concluded that the real-estate developer’s net worth was $150 million to $250 million, rather than the $2 billion to $5 billion Trump had variously claimed. Trump, who had courted O’Brien by taking him for rides in his Ferrari and private jet, sued O’Brien for libel in New Jersey in 2006. Trump called O’Brien a “wack job” on the “Today” show — while, O’Brien says, continuing to curry favor with him privately. O’Brien’s publisher, Warner Books, was also named in the suit and hired top lawyers who put Trump through an unsparing two-day deposition. Asked about his finances, Trump was caught lying or exaggerating 30 times. “He thought he’d get a friendly judge, and we would roll over,” says O’Brien, who is now the executive editor of Bloomberg View. “We didn’t.” The case went through four judges and was dismissed in 2009.","MM","50","The New York Times","2016-11-22T10:00:06+0000","article","Magazine","Magazine","News","nyt://article/f380398d-589b-5e32-ac83-1f9b79196629",2903,"nyt://article/f380398d-589b-5e32-ac83-1f9b79196629",NA,"Billionaires vs. the Press in the Era of Trump","Feature",NA,"Stop the Presses",NA,NA,NA,"By Emily Bazelon",NA
"While China would suffer under a 45 percent tariff, it might be able to take the blow and it would certainly counterpunch.","https://www.nytimes.com/2016/11/22/business/a-trade-war-against-china-might-be-a-fight-trump-couldnt-win.html","While China would suffer under a 45 percent tariff, it might be able to take the blow and it would certainly counterpunch.","Who gains from a trade war with China?","B","1","The New York Times","2016-11-22T10:00:17+0000","article","Business","Business Day","News","nyt://article/2e31ffd1-8469-578f-903d-3e7d032f238f",1153,"nyt://article/2e31ffd1-8469-578f-903d-3e7d032f238f","Economy","A Trade War Against China Might Be a Fight Trump Couldn’t Win","Economic Scene",NA,"In a Trade War, China Could Pack a Powerful Counterpunch",NA,NA,NA,"By Eduardo Porter",NA
"The president-elect suggested that the retired neurosurgeon Ben Carson could be his housing secretary and spoke at length to a Democrat, Michelle Rhee, about education.","https://www.nytimes.com/2016/11/22/us/politics/donald-trump-transition.html","The president-elect suggested that the retired neurosurgeon Ben Carson could be his housing secretary and spoke at length to a Democrat, Michelle Rhee, about education.","Earlier Today: The New York Times had an exclusive interview with Donald Trump. See how it unfolded on our live-blog.",NA,NA,"The New York Times","2016-11-22T10:00:18+0000","article","National","U.S.","News","nyt://article/0921d390-4a68-5347-beb0-714ac00587b1",1570,"nyt://article/0921d390-4a68-5347-beb0-714ac00587b1","Politics","Trump Inches Toward Naming Domestic Cabinet Members","Transition Briefing",NA,"",NA,NA,NA,"By Alan Rappeport, Michael D. Shear and Carl Hulse",NA
"What does a Trump presidency mean for banks and businesses? Community bankers, at least, are feeling good about their prospects.","https://www.nytimes.com/2016/11/22/business/dealbook/trump-banks-business-law-partner.html","What does a Trump presidency mean for banks and businesses? Community bankers, at least, are feeling good about their prospects.","What does a Trump administration mean for you?",NA,NA,"The New York Times","2016-11-22T11:09:36+0000","article","Business","Business Day","News","nyt://article/517652fa-aed5-580c-a175-75740520954d",754,"nyt://article/517652fa-aed5-580c-a175-75740520954d","DealBook","Morning Agenda: Banks, Business and Trump, Law Firms Culling Partners",NA,NA,"",NA,NA,NA,"By Amie Tsang",NA
"In a reality TV show modeled on “The Apprentice,” Chechnya’s leader, Ramzan A. Kadyrov, is trying to change an image that “I will kill whoever says anything about me.”","https://www.nytimes.com/2016/11/22/world/europe/chechnya-ramzan-kadyrov-donald-trump.html","In a reality TV show modeled on “The Apprentice,” Chechnya’s leader, Ramzan A. Kadyrov, is trying to change an image that “I will kill whoever says anything about me.”","MOSCOW — Caucasian warlord, mixed martial arts enthusiast, scourge of any opposition — Ramzan A. Kadyrov, the autocratic leader of a turbulent mountain republic, wants to convince the rest of Russia that its image of him is all wrong.","A","4","The New York Times","2016-11-22T11:27:27+0000","article","Foreign","World","News","nyt://article/4cf9b954-10fd-52ec-916b-1fdca8cd431a",1414,"nyt://article/4cf9b954-10fd-52ec-916b-1fdca8cd431a","Europe","A Warlord’s Cuddly Makeover, With a Nod to Donald Trump",NA,NA,"Chechen Warlord’s Cuddly Makeover, With a Nod to Trump",NA,NA,NA,"By Neil MacFarquhar",NA
"The American president-elect seems to have gone out of his way once again to embarrass the British government, which is struggling to establish a rapport.","https://www.nytimes.com/2016/11/22/world/europe/uk-donald-trump-nigel-farage.html","The American president-elect seems to have gone out of his way once again to embarrass the British government, which is struggling to establish a rapport.","LONDON — Once again, President-elect Donald J. Trump seems to have gone out of his way to embarrass the British government.","A","18","The New York Times","2016-11-22T11:43:40+0000","article","Foreign","World","News","nyt://article/d39b238d-8f93-5d86-8d6c-110ec3f41d40",1102,"nyt://article/d39b238d-8f93-5d86-8d6c-110ec3f41d40","Europe","U.K. Rejects Donald Trump’s Call for Nigel Farage to Be Made Ambassador",NA,NA,"Britain Says ‘No Thanks’ to Advice on Envoy to U.S.",NA,NA,NA,"By Stephen Castle",NA
"The Mexican government has no reason to cooperate with a hostile administration in Washington.","https://www.nytimes.com/2016/11/22/opinion/mexico-can-stand-up-to-trump.html","The Mexican government has no reason to cooperate with a hostile administration in Washington.","This year, for the first time since Ronald Reagan assailed the Soviet Union in 1980, an American presidential candidate actively campaigned against another country’s national interests. By threatening to deport all undocumented immigrants, about half of whom are Mexican; to build a wall on the Mexican border; and to rip up the North American Free Trade Agreement, which is far more important for Mexico than for the United States, Donald J. Trump made Mexico one of the central issues of the campaign.","A","1","The New York Times","2016-11-22T11:59:43+0000","article","OpEd","Opinion","Op-Ed","nyt://article/018effeb-c593-55ba-851d-1c6c801a523b",887,"nyt://article/018effeb-c593-55ba-851d-1c6c801a523b",NA,"Mexico Doesn’t Have to Appease Trump. It Can Fight Back.","Op-Ed Contributor",NA,"Mexico can  stand up to U.S. hostility",NA,NA,NA,"By Jorge G. Castañeda",NA
"The president-elect’s push-pull approach to the news media was on display in his responses to questions about the First Amendment and Breitbart News.","https://www.nytimes.com/2016/11/22/business/media/donald-trump-new-york-times.html","The president-elect’s push-pull approach to the news media was on display in his responses to questions about the First Amendment and Breitbart News.","On Twitter Tuesday morning, President-elect Donald J. Trump was the media-bashing firebrand many of his supporters adore, denouncing The New York Times as a “failing” institution that covered him inaccurately — “and with a nasty tone!”","A","15","The New York Times","2016-11-22T13:08:54+0000","article","Business","Business Day","News","nyt://article/867961f6-e958-58ad-8128-2ba863831b2f",1064,"nyt://article/867961f6-e958-58ad-8128-2ba863831b2f","Media","Less Defiant Trump at The Times: ‘I Hope We Can All Get Along’",NA,NA,"Less Defiant Trump at The Times: ‘I Hope We Can All Get Along’",NA,NA,NA,"By Michael M. Grynbaum and Sydney Ember",NA
"“Lock her up”? The president-elect signaled that he would prefer to move on rather than pursue inquiries into Mrs. Clinton’s email use and the Clinton Foundation.","https://www.nytimes.com/2016/11/22/us/politics/donald-trump-hillary-clinton-investigation.html","“Lock her up”? The president-elect signaled that he would prefer to move on rather than pursue inquiries into Mrs. Clinton’s email use and the Clinton Foundation.","President-elect Donald J. Trump said on Tuesday that he had no intention of pressing for an investigation into Hillary Clinton’s use of a private email server or the financial operations of her family’s foundation, dropping the “lock her up” pledge that became a rallying cry for his campaign for the White House.","A","1","The New York Times","2016-11-22T14:56:14+0000","article","National","U.S.","News","nyt://article/bbfe34ad-4fea-5886-9b53-85a13a181d6e",1037,"nyt://article/bbfe34ad-4fea-5886-9b53-85a13a181d6e","Politics","Donald Trump Drops Threat of New Hillary Clinton Investigation",NA,NA,"Donald Trump Drops Threat of New Hillary Clinton Investigation",NA,NA,NA,"By Julie Hirschfeld Davis and Michael D. Shear",NA
"It’s possible that there will be only minimal disruptions to world economies, and better deals for American companies. Or not.","https://www.nytimes.com/2016/11/22/upshot/what-will-trump-trade-policy-actually-look-like-three-possibilities.html","It’s possible that there will be only minimal disruptions to world economies, and better deals for American companies. Or not.","Donald J. Trump, through decades in public life, has been consistent on one core policy idea: that the United States has gotten a raw deal from its major trading partners in the agreements that bind their economies. Renegotiating those terms will surely be a top priority for his administration.","B","1","The New York Times","2016-11-22T15:02:52+0000","article","Business","The Upshot","News","nyt://article/14f6a174-a306-5b9c-87e6-9c9282bcca06",1599,"nyt://article/14f6a174-a306-5b9c-87e6-9c9282bcca06",NA,"What Will Trump Trade Policy Actually Look Like? Three Possibilities","Global Shivers",NA,"Trade Policy Promise and Peril: A Look at 3 Possible Scenarios",NA,NA,NA,"By Neil Irwin",NA
"The president-elect is meeting today with journalists and editorial columnists. Here are their tweets about the on-the-record interview.","https://www.nytimes.com/live/trump-at-the-new-york-times-the-tweets/","The president-elect is meeting today with journalists and editorial columnists. Here are their tweets about the on-the-record interview.","",NA,NA,"The New York Times","2016-11-22T17:53:12+0000","article","","U.S.","News","nyt://article/a314dd49-99fc-58e4-afca-30e979541af3",1,"nyt://article/a314dd49-99fc-58e4-afca-30e979541af3","Politics","Donald Trump at The New York Times: Live on Twitter","Live Coverage",NA,"",NA,NA,NA,"By Daniel Victor",NA
"The Donald J. Trump Foundation acknowledged on its 2015 tax form that it had used money or assets for a “disqualified person,” or one of the organization’s central people.","https://www.nytimes.com/2016/11/22/us/politics/donald-trump-foundation.html","The Donald J. Trump Foundation acknowledged on its 2015 tax form that it had used money or assets for a “disqualified person,” or one of the organization’s central people.","President-elect Donald J. Trump’s foundation has acknowledged that it may have run afoul of self-dealing rules that guard against using money meant for charity to benefit principals of the organization, according to its 2015 tax filing.","A","17","The New York Times","2016-11-22T18:15:26+0000","article","National","U.S.","News","nyt://article/cfe8a5ee-d668-595b-bdb3-20d006877a92",566,"nyt://article/cfe8a5ee-d668-595b-bdb3-20d006877a92","Politics","Trump Foundation May Have Used Money to Benefit One of Its Own",NA,NA,"Trump Fund Cites Benefit to Insider in Tax Filing",NA,NA,NA,"By Steve Eder",NA
"In a discussion at The New York Times, the president-elect was less adamant on prosecuting Hillary Clinton, the use of waterboarding and climate change.","https://www.nytimes.com/2016/11/22/us/politics/donald-trump-visit.html","In a discussion at The New York Times, the president-elect was less adamant on prosecuting Hillary Clinton, the use of waterboarding and climate change.","President-elect Donald J. Trump on Tuesday tempered some of his most extreme campaign promises, dropping his vow to jail Hillary Clinton, expressing doubt about the value of torturing terrorism suspects and pledging to have an open mind about climate change.","A","1","The New York Times","2016-11-22T18:53:57+0000","article","National","U.S.","News","nyt://article/22363c7c-e2cd-5d87-b651-c7d5abf06551",1584,"nyt://article/22363c7c-e2cd-5d87-b651-c7d5abf06551","Politics","Trump, in Interview, Moderates Views but Defies Conventions",NA,NA,"Trump Pulls Back but Still Defies the Conventions",NA,NA,NA,"By Michael D. Shear, Julie Hirschfeld Davis and Maggie Haberman",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/22/briefing/asia-briefing.html","Here’s what you need to know to start your day.","Good morning. ",NA,NA,"The New York Times","2016-11-22T19:04:39+0000","article","NYTNow","Briefing","briefing","nyt://article/a7de6050-e053-5c48-b9aa-754a11943860",1133,"nyt://article/a7de6050-e053-5c48-b9aa-754a11943860",NA,"Donald Trump, Japan, Mosul: Your Wednesday Briefing","Asia Pacific Edition",NA,"",NA,NA,NA,"By Charles McDermid",NA
"Among the topics: the prosecution of Hillary Clinton, the alt-right, climate change and the president-elect’s business interests.","https://www.nytimes.com/2016/11/22/us/politics/donald-trump-times-tweets.html","Among the topics: the prosecution of Hillary Clinton, the alt-right, climate change and the president-elect’s business interests.","President-elect Donald J. Trump met on Tuesday with journalists from the newsroom and opinion staff at The New York Times. Several reporters, news editors and opinion writers used Twitter to report live on the interview with Mr. Trump.",NA,NA,"The New York Times","2016-11-22T20:59:51+0000","article","National","U.S.","News","nyt://article/1996396b-7bbd-59dd-884d-8b645a1395cd",786,"nyt://article/1996396b-7bbd-59dd-884d-8b645a1395cd","Politics","Donald Trump’s New York Times Interview in 12 Tweets",NA,NA,"",NA,NA,NA,"By Jonah Engel Bromwich",NA
"President-elect Donald J. Trump met with journalists from the newsroom and opinion staff at The New York Times on Tuesday. Here are some of the issues discussed at the meeting.","https://www.nytimes.com/video/us/politics/100000004784108/trump-meets-with-the-new-york-times.html","President-elect Donald J. Trump met with journalists from the newsroom and opinion staff at The New York Times on Tuesday. Here are some of the issues discussed at the meeting.","President-elect Donald J. Trump met with journalists from the newsroom and opinion staff at The New York Times on Tuesday. Here are some of the issues discussed at the meeting.",NA,NA,"The New York Times","2016-11-22T22:35:48+0000","multimedia","Politics","U.S.","Video","nyt://video/f0cdd1a3-5aae-522d-be07-9e7f090047a1",0,"nyt://video/f0cdd1a3-5aae-522d-be07-9e7f090047a1","Politics","Trump Meets With The New York Times",NA,NA,"",NA,NA,NA,"By YARA BISHARA and NICOLE FINEMAN",NA
"The president-elect says journalists will be “happy” about his First Amendment views. The vice president-elect has actually defended a free press.","https://www.nytimes.com/2016/11/22/opinion/trump-and-pence-on-the-media.html","The president-elect says journalists will be “happy” about his First Amendment views. The vice president-elect has actually defended a free press.","“I think you’ll be happy, I think you’ll be happy.”",NA,NA,"The New York Times","2016-11-22T22:35:53+0000","article","OpEd","Opinion","Op-Ed","nyt://article/761dcefe-c992-5ba3-a93b-0c1b09ccac83",511,"nyt://article/761dcefe-c992-5ba3-a93b-0c1b09ccac83",NA,"Trump Reassures the Media (For Now)","Op-Ed Columnist",NA,"",NA,NA,NA,"By David Leonhardt",NA
"Supporters of the Second Amendment, ecstatic that Hillary Clinton lost, anticipate an expansion of gun rights with a Trump administration and a Republican-led Congress.","https://www.nytimes.com/2016/11/22/us/gun-supporters-trump.html","Supporters of the Second Amendment, ecstatic that Hillary Clinton lost, anticipate an expansion of gun rights with a Trump administration and a Republican-led Congress.","HOUSTON — Before the election, gun rights activists were so worried Hillary Clinton would win the presidency that some of them bought extra ammunition and guns, fearing a crackdown on certain weapons, bullets and magazines.","A","12","The New York Times","2016-11-22T22:50:12+0000","article","National","U.S.","News","nyt://article/5e625bfb-e3fa-5f13-9a24-455e7f332221",1268,"nyt://article/5e625bfb-e3fa-5f13-9a24-455e7f332221",NA,"Gun Owners ‘Can Breathe Again’: Trump’s Win Emboldens Advocates",NA,NA,"Trump’s Victory Emboldens Gun Advocates",NA,NA,NA,"By Manny Fernandez and Mitch Smith",NA
"Here’s what you need to know at the end of the day.","https://www.nytimes.com/2016/11/22/briefing/donald-trump-chattanooga-mosul.html","Here’s what you need to know at the end of the day.","(Want to get this briefing by email? Here’s the sign-up.)",NA,NA,"The New York Times","2016-11-22T22:59:47+0000","article","NYTNow","Briefing","briefing","nyt://article/7ce5caa1-bde4-5f6c-8a6b-da1f15bce94b",876,"nyt://article/7ce5caa1-bde4-5f6c-8a6b-da1f15bce94b",NA,"Donald Trump, Chattanooga, Mosul: Your Tuesday Evening Briefing",NA,NA,"Your Evening Briefing",NA,NA,NA,"By Karen Zraick and Sandra Stevenson",NA
